order_id,customer_id,order_date,channel,country,product_category,items_count,gross_amount_eur,discount_eur,net_amount_eur,fulfillment_status
ORD-2026-000041,CUST-100041,2026-03-08T15:55:28Z,web,Netherlands,Accessories,3,142.65,10.00,132.65,Delivered
ORD-2026-000042,CUST-100042,2026-03-09T18:06:39Z,mobile,Portugal,Apparel,2,93.40,0.00,93.40,Delivered
ORD-2026-000043,CUST-100043,2026-03-10T09:40:14Z,web,Ireland,Home Goods,4,226.20,20.00,206.20,Delivered
ORD-2026-000044,CUST-100044,2026-03-11T12:34:52Z,mobile,Belgium,Sports,1,71.30,0.00,71.30,Delivered
ORD-2026-000045,CUST-100045,2026-03-12T14:28:31Z,web,Austria,Electronics,2,655.00,40.00,615.00,Shipped
ORD-2026-000046,CUST-100046,2026-03-14T16:13:26Z,mobile,Poland,Kitchen,3,138.90,10.00,128.90,Delivered
ORD-2026-000047,CUST-100047,2026-03-15T07:54:44Z,web,Denmark,Beauty,2,101.70,5.00,96.70,Delivered
ORD-2026-000048,CUST-100048,2026-03-16T10:21:18Z,mobile,Sweden,Accessories,1,57.80,0.00,57.80,Delivered
ORD-2026-000049,CUST-100049,2026-03-18T13:16:59Z,web,Spain,Home Goods,5,283.40,20.00,263.40,Delivered
ORD-2026-000050,CUST-100050,2026-03-20T17:48:12Z,mobile,Germany,Apparel,2,88.60,0.00,88.60,Delivered
